2026-08-17 01:40:21,513 | DEBUG    | main:744 |   Processed 20/32 in batch 34
2026-08-17 01:40:21,514 | DEBUG    | main:744 |   Processed 25/32 in batch 34
2026-08-17 01:40:21,514 | DEBUG    | main:744 |   Processed 30/32 in batch 34
2026-08-17 01:40:21,514 | INFO     | main:670 | Processing batch 35/282 (32 profiles)...
2026-08-17 01:41:04,544 | DEBUG    | main:744 |   Processed 5/32 in batch 35
2026-08-17 01:41:04,544 | DEBUG    | main:744 |   Processed 10/32 in batch 35
2026-08-17 01:41:04,545 | DEBUG    | main:744 |   Processed 15/32 in batch 35
2026-08-17 01:41:04,545 | DEBUG    | main:744 |   Processed 20/32 in batch 35
2026-08-17 01:41:04,545 | DEBUG    | main:744 |   Processed 25/32 in batch 35
2026-08-17 01:41:04,546 | DEBUG    | main:744 |   Processed 30/32 in batch 35
2026-08-17 01:41:04,546 | INFO     | main:670 | Processing batch 36/282 (32 profiles)...
2026-08-17 01:41:47,804 | DEBUG    | main:744 |   Processed 5/32 in batch 36
2026-08-17 01:41:47,805 | DEBUG    | main:744 |   Processed 10/32 in batch 36
2026-08-17 01:41:47,805 | DEBUG    | main:744 |   Processed 15/32 in batch 36
2026-08-17 01:41:47,806 | DEBUG    | main:744 |   Processed 20/32 in batch 36
2026-08-17 01:41:47,806 | DEBUG    | main:744 |   Processed 25/32 in batch 36
2026-08-17 01:41:47,807 | DEBUG    | main:744 |   Processed 30/32 in batch 36
2026-08-17 01:41:47,807 | INFO     | main:670 | Processing batch 37/282 (32 profiles)...
2026-08-17 01:42:31,432 | DEBUG    | main:744 |   Processed 5/32 in batch 37
2026-08-17 01:42:31,433 | DEBUG    | main:744 |   Processed 10/32 in batch 37
2026-08-17 01:42:31,433 | DEBUG    | main:744 |   Processed 15/32 in batch 37
2026-08-17 01:42:31,434 | DEBUG    | main:744 |   Processed 20/32 in batch 37
2026-08-17 01:42:31,434 | DEBUG    | main:744 |   Processed 25/32 in batch 37
2026-08-17 01:42:31,434 | DEBUG    | main:744 |   Processed 30/32 in batch 37
2026-08-17 01:42:31,434 | INFO     | main:670 | Processing batch 38/282 (32 profiles)...
2026-08-17 01:43:14,587 | DEBUG    | main:744 |   Processed 5/32 in batch 38
2026-08-17 01:43:14,587 | DEBUG    | main:744 |   Processed 10/32 in batch 38
2026-08-17 01:43:14,588 | DEBUG    | main:744 |   Processed 15/32 in batch 38
2026-08-17 01:43:14,588 | DEBUG    | main:744 |   Processed 20/32 in batch 38
2026-08-17 01:43:14,588 | DEBUG    | main:744 |   Processed 25/32 in batch 38
2026-08-17 01:43:14,589 | DEBUG    | main:744 |   Processed 30/32 in batch 38
2026-08-17 01:43:14,589 | INFO     | main:670 | Processing batch 39/282 (32 profiles)...
2026-08-17 01:43:57,722 | DEBUG    | main:744 |   Processed 5/32 in batch 39
2026-08-17 01:43:57,722 | DEBUG    | main:744 |   Processed 10/32 in batch 39
2026-08-17 01:43:57,723 | DEBUG    | main:744 |   Processed 15/32 in batch 39
2026-08-17 01:43:57,723 | DEBUG    | main:744 |   Processed 20/32 in batch 39
2026-08-17 01:43:57,723 | DEBUG    | main:744 |   Processed 25/32 in batch 39
2026-08-17 01:43:57,724 | DEBUG    | main:744 |   Processed 30/32 in batch 39
2026-08-17 01:43:57,724 | INFO     | main:670 | Processing batch 40/282 (32 profiles)...
2026-08-17 01:44:41,105 | DEBUG    | main:744 |   Processed 5/32 in batch 40
2026-08-17 01:44:41,105 | DEBUG    | main:744 |   Processed 10/32 in batch 40
2026-08-17 01:44:41,106 | DEBUG    | main:744 |   Processed 15/32 in batch 40
2026-08-17 01:44:41,106 | DEBUG    | main:744 |   Processed 20/32 in batch 40
2026-08-17 01:44:41,106 | DEBUG    | main:744 |   Processed 25/32 in batch 40
2026-08-17 01:44:41,107 | DEBUG    | main:744 |   Processed 30/32 in batch 40
2026-08-17 01:44:41,107 | INFO     | main:670 | Processing batch 41/282 (32 profiles)...
2026-08-17 01:45:23,835 | DEBUG    | main:744 |   Processed 5/32 in batch 41
2026-08-17 01:45:23,835 | DEBUG    | main:744 |   Processed 10/32 in batch 41
2026-08-17 01:45:23,836 | DEBUG    | main:744 |   Processed 15/32 in batch 41
2026-08-17 01:45:23,836 | DEBUG    | main:744 |   Processed 20/32 in batch 41
2026-08-17 01:45:23,837 | DEBUG    | main:744 |   Processed 25/32 in batch 41
2026-08-17 01:45:23,837 | DEBUG    | main:744 |   Processed 30/32 in batch 41
2026-08-17 01:45:23,837 | INFO     | main:670 | Processing batch 42/282 (32 profiles)...
2026-08-17 01:46:06,703 | DEBUG    | main:744 |   Processed 5/32 in batch 42
2026-08-17 01:46:06,704 | DEBUG    | main:744 |   Processed 10/32 in batch 42
2026-08-17 01:46:06,704 | DEBUG    | main:744 |   Processed 15/32 in batch 42
2026-08-17 01:46:06,705 | DEBUG    | main:744 |   Processed 20/32 in batch 42
2026-08-17 01:46:06,705 | DEBUG    | main:744 |   Processed 25/32 in batch 42
2026-08-17 01:46:06,705 | DEBUG    | main:744 |   Processed 30/32 in batch 42
2026-08-17 01:46:06,705 | INFO     | main:670 | Processing batch 43/282 (32 profiles)...
2026-08-17 01:46:50,244 | DEBUG    | main:744 |   Processed 5/32 in batch 43
2026-08-17 01:46:50,245 | DEBUG    | main:744 |   Processed 10/32 in batch 43
2026-08-17 01:46:50,245 | DEBUG    | main:744 |   Processed 15/32 in batch 43
2026-08-17 01:46:50,246 | DEBUG    | main:744 |   Processed 20/32 in batch 43
2026-08-17 01:46:50,246 | DEBUG    | main:744 |   Processed 25/32 in batch 43
2026-08-17 01:46:50,246 | DEBUG    | main:744 |   Processed 30/32 in batch 43
2026-08-17 01:46:50,247 | INFO     | main:670 | Processing batch 44/282 (32 profiles)...
2026-08-17 01:47:33,449 | DEBUG    | main:744 |   Processed 5/32 in batch 44
2026-08-17 01:47:33,449 | DEBUG    | main:744 |   Processed 10/32 in batch 44
2026-08-17 01:47:33,450 | DEBUG    | main:744 |   Processed 15/32 in batch 44
